time,x,y,z,vx,vy,vz
3.5,9.99962e+08,9.99997e+08,0,-11642.7,-1642.77,0
3.5,-9.99997e+08,9.99962e+08,0,1642.77,-11642.7,0
3.5,52500,2e+09,0,15000,-1161.58,0
3.6,9.99961e+08,9.99997e+08,0,-11689.7,-1689.7,0
3.6,-9.99997e+08,9.99961e+08,0,1689.7,-11689.7,0
3.6,54000,2e+09,0,15000,-1194.77,0
3.7,9.9996e+08,9.99997e+08,0,-11736.6,-1736.64,0
3.7,-9.99997e+08,9.9996e+08,0,1736.64,-11736.6,0
3.7,55500,2e+09,0,15000,-1227.96,0
3.8,9.99959e+08,9.99997e+08,0,-11783.5,-1783.58,0
3.8,-9.99997e+08,9.99959e+08,0,1783.58,-11783.5,0
3.8,57000,2e+09,0,15000,-1261.14,0
3.9,9.99957e+08,9.99996e+08,0,-11830.5,-1830.52,0
3.9,-9.99996e+08,9.99957e+08,0,1830.52,-11830.5,0
3.9,58500,2e+09,0,15000,-1294.33,0
4,9.99956e+08,9.99996e+08,0,-11877.4,-1877.45,0
4,-9.99996e+08,9.99956e+08,0,1877.45,-11877.4,0
4,60000,2e+09,0,15000,-1327.52,0
4.1,9.99955e+08,9.99996e+08,0,-11924.4,-1924.39,0
4.1,-9.99996e+08,9.99955e+08,0,1924.39,-11924.4,0
4.1,61500,2e+09,0,15000,-1360.71,0
4.2,9.99954e+08,9.99996e+08,0,-11971.3,-1971.33,0
4.2,-9.99996e+08,9.99954e+08,0,1971.33,-11971.3,0
4.2,63000,2e+09,0,15000,-1393.9,0
4.3,9.99953e+08,9.99996e+08,0,-12018.2,-2018.27,0
4.3,-9.99996e+08,9.99953e+08,0,2018.27,-12018.2,0
4.3,64500,2e+09,0,15000,-1427.08,0
4.4,9.99951e+08,9.99995e+08,0,-12065.2,-2065.21,0
4.4,-9.99995e+08,9.99951e+08,0,2065.21,-12065.2,0
4.4,66000,2e+09,0,15000,-1460.27,0
4.5,9.9995e+08,9.99995e+08,0,-12112.1,-2112.15,0
4.5,-9.99995e+08,9.9995e+08,0,2112.15,-12112.1,0
4.5,67500,2e+09,0,15000,-1493.46,0
4.6,9.99949e+08,9.99995e+08,0,-12159,-2159.08,0
4.6,-9.99995e+08,9.99949e+08,0,2159.08,-12159,0
4.6,69000,2e+09,0,15000,-1526.65,0
4.7,9.99948e+08,9.99995e+08,0,-12206,-2206.02,0
4.7,-9.99995e+08,9.99948e+08,0,2206.02,-12206,0
4.7,70500,2e+09,0,15000,-1559.84,0
4.8,9.99946e+08,9.99994e+08,0,-12252.9,-2252.96,0
4.8,-9.99994e+08,9.99946e+08,0,2252.96,-12252.9,0
4.8,72000,2e+09,0,15000,-1593.02,0
4.9,9.99945e+08,9.99994e+08,0,-12299.8,-2299.9,0
4.9,-9.99994e+08,9.99945e+08,0,2299.9,-12299.8,0
4.9,73500,2e+09,0,15000,-1626.21,0
5,9.99944e+08,9.99994e+08,0,-12346.8,-2346.84,0
5,-9.99994e+08,9.99944e+08,0,2346.84,-12346.8,0
5,74999.9,2e+09,0,15000,-1659.4,0
5.1,9.99943e+08,9.99994e+08,0,-12393.7,-2393.78,0
5.1,-9.99994e+08,9.99943e+08,0,2393.78,-12393.7,0
5.1,76499.9,2e+09,0,15000,-1692.59,0
5.2,9.99942e+08,9.99994e+08,0,-12440.7,-2440.72,0
5.2,-9.99994e+08,9.99942e+08,0,2440.72,-12440.7,0
5.2,77999.9,2e+09,0,15000,-1725.78,0
5.3,9.9994e+08,9.99993e+08,0,-12487.6,-2487.66,0
5.3,-9.99993e+08,9.9994e+08,0,2487.66,-12487.6,0
5.3,79499.9,2e+09,0,15000,-1758.96,0
5.4,9.99939e+08,9.99993e+08,0,-12534.5,-2534.59,0
5.4,-9.99993e+08,9.99939e+08,0,2534.59,-12534.5,0
5.4,80999.9,2e+09,0,15000,-1792.15,0
5.5,9.99938e+08,9.99993e+08,0,-12581.5,-2581.53,0
5.5,-9.99993e+08,9.99938e+08,0,2581.53,-12581.5,0
5.5,82499.9,1.99999e+09,0,15000,-1825.34,0
5.6,9.99937e+08,9.99993e+08,0,-12628.4,-2628.47,0
5.6,-9.99993e+08,9.99937e+08,0,2628.47,-12628.4,0
5.6,83999.9,1.99999e+09,0,15000,-1858.53,0
5.7,9.99935e+08,9.99992e+08,0,-12675.3,-2675.41,0
5.7,-9.99992e+08,9.99935e+08,0,2675.41,-12675.3,0
5.7,85499.9,1.99999e+09,0,15000,-1891.72,0
5.8,9.99934e+08,9.99992e+08,0,-12722.3,-2722.35,0
5.8,-9.99992e+08,9.99934e+08,0,2722.35,-12722.3,0
5.8,86999.9,1.99999e+09,0,15000,-1924.91,0
5.9,9.99933e+08,9.99992e+08,0,-12769.2,-2769.29,0
5.9,-9.99992e+08,9.99933e+08,0,2769.29,-12769.2,0
5.9,88499.9,1.99999e+09,0,15000,-1958.09,0
6,9.99931e+08,9.99991e+08,0,-12816.1,-2816.23,0
6,-9.99991e+08,9.99931e+08,0,2816.23,-12816.1,0
6,89999.9,1.99999e+09,0,15000,-1991.28,0
6.1,9.9993e+08,9.99991e+08,0,-12863.1,-2863.17,0
6.1,-9.99991e+08,9.9993e+08,0,2863.17,-12863.1,0
6.1,91499.9,1.99999e+09,0,15000,-2024.47,0
6.2,9.99929e+08,9.99991e+08,0,-12910,-2910.11,0
6.2,-9.99991e+08,9.99929e+08,0,2910.11,-12910,0
6.2,92999.9,1.99999e+09,0,15000,-2057.66,0
6.3,9.99928e+08,9.99991e+08,0,-12957,-2957.05,0
6.3,-9.99991e+08,9.99928e+08,0,2957.05,-12957,0
6.3,94499.9,1.99999e+09,0,15000,-2090.85,0
6.4,9.99926e+08,9.9999e+08,0,-13003.9,-3003.99,0
6.4,-9.9999e+08,9.99926e+08,0,3003.99,-13003.9,0
6.4,95999.9,1.99999e+09,0,14999.9,-2124.03,0
6.5,9.99925e+08,9.9999e+08,0,-13050.8,-3050.93,0
6.5,-9.9999e+08,9.99925e+08,0,3050.93,-13050.8,0
6.5,97499.9,1.99999e+09,0,14999.9,-2157.22,0
6.6,9.99924e+08,9.9999e+08,0,-13097.8,-3097.87,0
6.6,-9.9999e+08,9.99924e+08,0,3097.87,-13097.8,0
6.6,98999.9,1.99999e+09,0,14999.9,-2190.41,0
6.7,9.99922e+08,9.99989e+08,0,-13144.7,-3144.81,0
6.7,-9.99989e+08,9.99922e+08,0,3144.81,-13144.7,0
6.7,100500,1.99999e+09,0,14999.9,-2223.6,0
6.8,9.99921e+08,9.99989e+08,0,-13191.6,-3191.75,0
6.8,-9.99989e+08,9.99921e+08,0,3191.75,-13191.6,0
6.8,102000,1.99999e+09,0,14999.9,-2256.79,0
6.9,9.9992e+08,9.99989e+08,0,-13238.6,-3238.69,0
6.9,-9.99989e+08,9.9992e+08,0,3238.69,-13238.6,0
6.9,103500,1.99999e+09,0,14999.9,-2289.98,0
7,9.99918e+08,9.99988e+08,0,-13285.5,-3285.64,0
7,-9.99988e+08,9.99918e+08,0,3285.64,-13285.5,0
7,105000,1.99999e+09,0,14999.9,-2323.16,0
